Unnamed: 0,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,appVersion,App,emojis_gpt,pos_ux_gpt,neg_ux_gpt,pos_ppl_gpt,neg_ppl_gpt,price_gpt,fraud_gpt,ban_gpt,pos_sent_gpt,neg_sent_gpt,content_word_count
1,Tim Kaufman,"There are a lot of fake profiles. Women like me ,I like them and respond, and profiles disappear. Makes no sense",1,0,2024-12-22 11:14:02,,,24.07.00,Ourtime,0,0,0,0,1,0,1,0,0,1,21
2,Chrystal,This is an American app. Everyone is from USA. There was 2 other people from Australia.,2,2,2023-04-17 03:39:43,"Thanks for your evaluation. MM is the largest millionaire dating service for the wealthiest countries since 2001. Most of members are from USA, and we are working hard to do marketing in other countries including Australia too. If you have any suggestions or problems, please feel free to reach us at AppService@millionairematch.com.",2023-04-17 03:28:38,8.4.4,Millionaire Match,0,0,0,0,0,0,0,0,0,1,16
3,Judith Berns,No women,1,0,2023-05-05 20:42:20,"Hi Judith, Please write in to hello@jswipe.me and we'll be happy to assist you!",2023-05-10 20:12:31,4.5.6,JSwipe,0,0,0,0,1,0,0,0,0,1,2
4,Jason Y,"This app is totally fake, not to mention unnecessarily overpriced. They say they have over 5 million people on it but only 500k have downloaded it on Android, and I doubt 4.5 million iPhones make up the difference. This is just another cash grab product/app by questionable developers, stay away, you've been warned!",1,18,2023-04-22 01:41:20,"Sorry for the confusion. In fact, we have a website millionairematch.com and an iOS app MM, and the site is the original millionaire dating since 2001. If you have any problems or suggestions, please feel free to reach us at AppService@millionairematch.com. We are always improving our product according to feedback. Thank you.",2023-04-24 11:39:46,8.4.6,Millionaire Match,0,0,0,0,0,1,0,0,0,1,53
5,oussama,1_I deleted the app and came back after a year and my information is still there with the option to return it and see the same people. The app should delete your information if you delete it respecting privacy 2_ now since 4 days waiting for approval its so long,1,1,2025-02-03 12:22:12,"Salam,

We're very sorry to hear this.

We'd like to get this resolved for you. Please email us at hello@muzz.com and our Community team will look into it for you.

Thank you.",2025-03-06 11:35:39,8.37.0a,Muzz,0,0,1,0,1,0,0,0,0,1,50
6,Dakota Grothe (Dakota),"I didn't find my girl here, but it got me some good dating experience and lessons learnt in the meantime.",5,1,2024-05-05 08:10:45,,,1.59.4.2,Mutual,0,0,0,0,0,0,0,0,1,0,20
7,mani aambal,nice,5,0,2025-03-07 09:08:52,,,16.2.1,Tinder,0,0,0,0,0,0,0,0,1,0,1
8,EJaz Miller,🅝🅘🅒🅔,4,0,2025-02-21 05:20:34,Thank you for your kind rating! Your Taimi Team 🌈,2025-02-21 05:30:17,5.1.342,Taimi,1,0,0,0,0,0,0,0,1,1,1
9,iecheokoro TM,"My Experience so far has not been pretty good. The first account I was using just got messed up, and I couldnt access the account for no Offense, now the current one logged me out for more than 5 days and I can't login again 😠😠😠😠 Why do I keep been kicked out of the App and this always happens after Subscription ? This is not funny again at all.",1,1,2023-10-29 22:51:02,"Hi. We're sorry that you're having trouble accessing your account! Please contact support@mutual.app, and we will help you log back into your account.",2023-08-29 17:51:59,1.64.3.3,Mutual,1,0,1,0,0,1,0,1,0,1,70
10,janvier manzi,"This app is a hell of a scam! They even charge you after canceling them. It is full of bugs and it freezes . You can't talk to anyone, all you see is that people are online but they can't see them reply. Anyway, why did you charge me after canceling you???",1,2,2023-11-25 10:08:40,"We're sorry to hear that you feel this way Janvier! We would like to address your issues, please reach out to our customer support team with more details so that we can help in resolving your queries. Thank you!",2023-11-27 13:16:43,5.3.4,Christian_Mingle,0,0,1,0,1,1,0,0,0,1,52
11,Ejay Roy,"For the amount I pay, this app sucks. Unable to locate my location, it doesn't refresh,. For an app that does a lot of update, it's not doing anything. This is disappointing.",1,0,2025-03-07 03:43:38,"¡Hola Ejay Roy! Gracias por ponerte en contacto con nosotros. Visita grindr.me/supportform para compartir más detalles o, en tu aplicación Grindr, accede a Configuración > Ayuda > Ponerse en contacto para obtener asistencia directa. Gracias por formar parte de la comunidad Grindr.",2025-03-08 00:19:01,25.2.0,Grindr,0,0,1,0,0,1,0,0,0,1,32
12,Manuel Gomez,The won't let me in my email I have for long time but the automated system won't accept I'm disappointed I was using before but now is a total disappointment to bad I try to open but the automated system don't let me in I can't give a good star,1,1,2024-12-04 23:50:23,,,24.07.00,Ourtime,0,0,1,0,0,0,0,1,0,1,50
13,Ann Natalie Kellie,It's what have been looking for,5,0,2024-10-11 18:26:22,"Dear Ann Natalie, we're happy to have you as a part of our community! Don't hesitate to contact our admin in case you have any questions.💡May you find all that your heart desires! 💜",2024-10-13 12:44:00,4.0.0,Zoe,0,0,0,0,0,0,0,0,1,0,6
14,Daniel Morton,"Its bugging out. I cant load my matches profiles and my messages arent semding. Even my first impressions. This conveniently started happening after my tinder platinum expired. Now, my account was magically deleted. All my matches. All my impressions. And they wont help or do anything.",1,1,2025-03-07 14:09:56,,,16.2.1,Tinder,0,0,1,0,1,0,0,1,0,1,46
15,Naomi Nelson,Just a money grabber profiting of the loneliness epidemic,1,2,2025-03-03 07:08:18,,,9.67.0,Hinge,0,0,0,0,1,1,0,0,0,1,9
16,HammerHead,"very gay app, highly recommended",5,0,2025-02-11 02:18:15,Thank you so much for sharing your feedback. Have an amazing day!,2025-02-11 21:15:37,,Her,0,0,0,0,0,0,0,0,1,0,5
17,Margaret Degase,I had no problems with the functioning of the app. That being said I can only describe it as the darkest dirtiest dive bar you've ever been in. Sooo many fake profiles trying to scam you. I had as many out of country recommendations as in country. Talk about long distance! England and Australia! I'd love to go but I don't see it happening. I had a few recommendations within a hour but no matches. I canceled my subscription. Just glad you can't get an STD from an app,1,335,2023-10-12 14:25:48,"You can proactively filter locations through DISCOVER to match the distance you desire. Scammer detection is our #1 priority. We are working hard to improve our system to prevent scammers from joining us and review the profiles strictly. If you have any suggestions on how to improve this, please feel free to contact us at support@seniormatch.com.",2023-10-13 01:02:57,,Senior_Match,0,0,0,0,1,0,1,0,0,1,89
18,K HUGHES,One of the better dating apps....,4,0,2024-09-28 18:22:52,Thanks for the feedback! We’re thankful to have you as a valued member of the SCRUFF community.,2024-10-01 15:21:35,7.33.0,Scruff,0,0,0,0,0,0,0,0,1,0,6
19,Vincent Kolasa,Watch me get a bot comment for this. UI is good and that's just about it. Another predatory app. I got a whole THREE likes that I can recall during my 3 month premium subscription. The excuse is that I need to change the filters but I DON'T WANNA DATE SOMEONE MORE THAN 45 MILES AWAY. then there's the difference between the app and web version. Web version displays WAY MORE people than the app but the web version won't let you send complements either to reach out. Save your money and time. Avoid!,2,9,2025-03-07 03:49:17,Hi Vincent. We appreciate you sharing your feedback with us. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team.,2025-03-08 04:45:10,5.408.0,Bumble,0,0,1,0,1,1,0,0,0,1,94
20,D G,Flawed. It doesn't even get the basics right. Having marked myself as gay I nevertheless get suggestions for hetero men and even women. Taking a paid subscription would be a waste of money.,1,2,2025-03-02 08:47:12,,,9.67.0,Hinge,0,0,0,0,1,1,0,0,0,1,33
21,Zoinks It's Anarchy,"First time using sapphic dating app and I absolutely love it!!! I've managed to make 4 new friends and even talk to them outside the app. Only problem was the like limit, I would have loved to see them all at once",5,3,2025-01-08 01:08:00,Thank you for your feedback :) It makes us smile to know that you are connecting with people and enjoying the community.,2025-01-07 22:35:40,3.25.2,Her,0,1,1,1,0,0,0,0,1,0,42
22,Pontus Wormuth,Deleted my account as soon as I finished my profile. Wait-lists are incongruous with self-respect.,1,1,2024-01-08 06:00:15,"Hello Pontus - thank you for your review. The Waitlist is essential as the Drafting Team truly takes the time to verify Profiles. The Drafting Team is looking for Profiles with six photos, completed About Me & Interest sections, as well as one social media platform verified. Users are welcome to support@theleague.com if their Profile is complete.",2024-01-16 18:55:08,,League,0,0,1,0,0,0,0,0,0,1,15
23,William Schauer,"Two gender options, no sexuality options. I'll let y'all non-reform types keep this one!",1,0,2022-03-16 23:39:05,,,4.4.1,JSwipe,0,0,0,0,1,0,0,0,0,1,14
24,Christina Phillips,I paid hours for this app and you guys are going to delete it for somebody at being stupid I didn't do anything you guys could see that I've only been on my job for 9 months I might not make as much money I think I should be making you better give me my money back then,1,3,2022-08-11 12:39:55,"Hi, thanks for using Luxy! Luxy is a high-quality community, all the users will need to follow our policies. Once an account is detected to violate our community guidelines, it will be blocked. If you have any doubt with it, please contact us at support@onluxy.com.",2022-08-12 08:04:37,6.9.1,Luxy,0,0,0,0,0,1,0,1,0,1,58
25,Prime Zulu,"I checked out this app for about a week. It is completely useless to someone like me. It wants you to link social media to set up an account. I don't use linked in or facebook etc. Even if I did, I wouldn't provide that information. Also I am not here to give you names of others to turn into your clients.",1,0,2024-02-21 14:51:42,"Hi! We appreciate you taking the time to give us a review. So that you know...that is not how we use Social Media. It's to verify you only. If you're having trouble getting Drafted and want some help, email us... support@theleague.com and a Support Agent would be happy to help you!",2024-02-23 22:42:54,1.103.0,League,0,0,1,0,0,0,0,0,0,1,62
26,Syed Ali,"Stupid and troublesome apps, I don't know why my account was blocked and when contacts are not served, these apps are very ridiculous and ugly",1,1,2025-01-29 02:10:48,"Salam,

Thank you for your review.

Our member's safety is our number one priority. We take a zero-tolerance approach to individuals who violate any aspects raised in our behaviour guidelines.

Please email us at hello@muzz.com and we would be happy to look into your account and provide further clarification.

Thank you.",2025-03-06 12:09:26,,Muzz,0,0,0,0,1,0,0,1,0,1,25
